Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
691,177,37,7050
692,173,35,7044
693,165,36,7038
694,154,35,7050
695,152,36,7044
696,142,36,7055
697,135,33,7073
698,127,32,7096
699,120,32,7117
700,118,31,7149
701,107,33,7166
702,99,34,7181
703,93,34,7195
704,89,34,7227
705,82,33,7254
706,77,34,7288
707,75,34,7316
708,70,35,7346
709,65,35,7370
710,66,35,7408
711,62,35,7452
712,58,35,7475
713,54,36,7523
714,51,36,7571
715,51,37,7609
716,57,35,7651
717,57,35,7685
718,54,35,7729
719,51,35,7770
720,48,36,7808
721,48,38,7848
722,49,38,7880
723,48,38,7915
724,46,36,7949
725,49,34,7998
726,48,34,8046
727,51,34,8091
728,51,35,8114
729,48,35,8157
730,48,36,8181
731,48,37,8207
732,50,37,8246
733,47,36,8298
734,45,36,8340
735,45,34,8389
736,42,34,8425
737,43,33,8459
738,40,33,8489
739,41,33,8539
740,44,32,8604
741,44,30,8630
742,45,29,8679
743,48,29,8719
744,49,29,8781
745,51,30,8826
746,54,31,8872
747,55,30,8908
748,59,29,8952
749,60,29,8982
750,61,26,9027
751,64,27,9059
752,65,25,9110
753,66,25,9137
754,68,25,9149
755,67,25,9176
756,71,24,9191
757,71,24,9192
758,74,25,9199
759,78,24,9203
760,79,23,9208
761,81,23,9216
762,83,21,9215
763,86,20,9250
764,89,20,9245
765,88,20,9241
766,96,20,9238
767,99,20,9247
768,95,21,9269
769,100,21,9260
770,102,21,9245
771,103,21,9246
772,107,21,9235
773,106,21,9213
774,104,23,9194
775,103,24,9190
776,106,23,9201
777,100,24,9185
778,94,24,9164
779,96,24,9144
780,100,24,9137
781,102,24,9138
782,102,26,9120
783,98,25,9107
784,104,26,9112
785,103,26,9120
786,109,26,9140
787,109,26,9142
788,103,25,9143
789,102,26,9152
790,105,28,9129
791,110,30,9116
792,115,31,9111
793,116,32,9095
794,118,32,9078
795,121,32,9054
796,125,34,9028
797,130,35,9009
798,135,35,8987
799,143,35,8951
800,144,36,8929
801,146,37,8930
802,147,37,8913
803,150,37,8900
804,147,37,8872
805,143,37,8852
806,147,37,8834
807,141,38,8820
808,143,38,8801
809,141,38,8774
810,146,39,8752
811,157,38,8738
812,156,39,8703
813,157,40,8649
814,150,40,8638
815,150,40,8611
816,147,43,8584
817,145,43,8549
818,145,44,8530
819,138,44,8526
820,138,44,8497
821,137,44,8463
822,133,44,8436
823,129,43,8422
824,129,42,8382
825,125,42,8371
826,126,42,8340
827,130,42,8319
828,133,42,8284
829,133,42,8265
830,130,42,8244
831,136,42,8225
832,144,42,8193
833,146,44,8177
834,153,45,8160
835,153,45,8120
836,157,46,8087
837,157,44,8066
838,163,44,8037
839,170,43,8000
840,166,42,7963
841,166,43,7935
842,167,43,7907
843,172,43,7887
844,172,44,7851
845,165,43,7836
846,160,44,7804
847,162,43,7775
848,161,43,7750
849,168,42,7729
850,167,42,7709
851,160,41,7683
852,159,40,7669
853,166,40,7658
854,158,40,7660
855,153,39,7655
856,152,37,7652
857,144,38,7662
858,145,39,7695
859,140,39,7718
860,132,39,7736
861,127,37,7749
862,118,34,7766
863,116,34,7786
864,116,34,7814
865,110,34,7832
866,105,34,7855
867,102,35,7890
868,97,35,7927
869,95,35,7994
870,88,35,8034
871,83,34,8068
872,80,35,8111
873,77,35,8161
874,70,35,8208
875,64,34,8244
876,59,33,8306
877,51,33,8337
878,46,33,8366
879,44,31,8432
880,41,31,8488
881,39,30,8552
882,39,30,8602
883,38,29,8638
884,33,27,8700
885,28,27,8743
886,23,25,8791
887,21,25,8824
888,18,25,8852
889,16,25,8888
890,16,25,8916
891,13,24,8949
892,14,23,8984
893,18,23,9021
894,18,24,9049
895,18,24,9074
896,16,24,9096
897,17,24,9109
898,19,24,9135
899,21,24,9149
900,23,24,9176
901,23,24,9177
902,21,24,9191
903,24,24,9198
904,30,24,9205
905,32,23,9214
906,33,23,9232
907,34,23,9241
908,38,22,9241
909,45,21,9241
910,49,20,9234
911,52,19,9224
912,53,18,9230
913,56,18,9220
914,64,17,9209
915,71,17,9193
916,73,17,9185
917,79,17,9163
918,83,17,9140
919,92,17,9134
920,97,17,9109
921,101,16,9064
922,108,15,9024
923,112,14,8980
924,123,14,8946
925,134,12,8917
926,137,12,8869
927,142,12,8821
928,143,9,8770
929,154,9,8710
930,164,9,8645
931,172,9,8578
932,173,8,8511
933,177,7,8455
934,182,7,8405
935,186,7,8346
936,191,6,8261
937,198,5,8187
938,203,5,8116
939,206,5,8044
940,212,5,7972
941,218,5,7903
942,226,4,7810
943,235,4,7719
944,237,3,7625
945,244,3,7535
946,251,3,7454
947,260,3,7361
